replication,target,pyfixest_estimate,pyfixest_se,pyfixest_covered,dbmundlak_estimate,dbmundlak_se,dbmundlak_covered,bitmap_estimate,bitmap_se,bitmap_covered,pyfixest_seconds,dbmundlak_seconds,bitmap_seconds,total_seconds,num_bootstraps,num_units,num_periods
46,0.0671290054710296,0.0673018587360619,0.0030559249604695,True,0.0673018587360594,0.0031264345617395,True,0.0673018587360596,0.0030917237603609,True,3.720665946995723,1.8120556419962668,0.6796627279982204,6.241927944000054,200,10000,30
47,0.0669457641019556,0.0679873605947977,0.003063804164034,True,0.0679873605947955,0.0029492979832027,True,0.0679873605947956,0.0029538897895753,True,3.709669379000843,2.5583619980025105,0.7137359160042251,7.027644110996334,200,10000,30
48,0.0671189388215028,0.0702825278810428,0.0031043109857184,True,0.070282527881041,0.0033202622829851,True,0.070282527881041,0.0033254127092432,True,4.154237208000268,1.9835963069999707,0.5439757339991047,6.727241036001942,200,10000,30
49,0.0671347636744954,0.0613598513011171,0.0030986788290995,True,0.0613598513011151,0.0031800844237323,True,0.0613598513011153,0.0031955380111191,True,4.048022668001067,2.330032031997689,0.8413411150031607,7.265079074000823,200,10000,30
50,0.06717031272811,0.0640996282527902,0.0030671741925437,True,0.064099628252788,0.0032683606030595,True,0.0640996282527878,0.0032502410102326,True,4.152195689006476,2.6484286730046733,0.8063034000006155,7.637762742000632,200,10000,30
51,0.067029896935442,0.0708342007434971,0.0030141881991723,True,0.0708342007434944,0.0030558560672866,True,0.0708342007434945,0.0030669571975254,True,3.669473423004092,2.2247210200002883,0.6958166240001447,6.634732942999108,200,10000,30
52,0.0671120168364115,0.0663152416356898,0.0030581273417247,True,0.0663152416356878,0.0031227576102573,True,0.0663152416356879,0.0031219447126943,True,3.570495640000445,2.2590625640004878,0.8039460739964852,6.6636522650005645,200,10000,30
53,0.0670576777021365,0.0655107806691467,0.0030932641232959,True,0.0655107806691451,0.0031049061887316,True,0.0655107806691452,0.0031075372944599,True,3.96608878900588,1.8885799189956745,0.5791555089963367,6.467273661997751,200,10000,30
54,0.0671468594343485,0.0655301115241665,0.0030868486568492,True,0.0655301115241636,0.0031206645628102,True,0.0655301115241631,0.0031317052735939,True,3.4741705609994824,1.887016772001516,0.7642279729989241,6.155299150996143,200,10000,30
55,0.0671177482150215,0.0710431226765821,0.0030737471552624,True,0.0710431226765799,0.0029558065627192,True,0.0710431226765799,0.0029691421562709,True,3.604626865999308,1.88167418899684,0.6336973029974615,6.164678458000708,200,10000,30
56,0.0669612720518224,0.0611182156133856,0.0030577769372273,True,0.0611182156133829,0.0031055384445614,True,0.0611182156133831,0.0031339890131081,True,4.314198374006082,2.009052929999598,0.8364209709980059,7.205636439000955,200,10000,30
57,0.0670149206875984,0.0693375464684038,0.0030798764650143,True,0.0693375464684015,0.0029594706255166,True,0.0693375464684015,0.002961292749442,True,3.700355724002293,1.8225436529974104,0.7975814870005706,6.3651936590031255,200,10000,30
58,0.067098783379642,0.0654252788104112,0.0030822823195001,True,0.0654252788104089,0.0030558649059347,True,0.065425278810409,0.0030357968338935,True,3.752733397996053,1.931836411000404,0.5133763470003032,6.242857504999847,200,10000,30
59,0.0671494900576655,0.0663375464684038,0.0030484649326827,True,0.0663375464684015,0.0031093372528349,True,0.0663375464684014,0.0031108095945393,True,4.18669662100001,1.919425507003325,0.5519771999970544,6.703793606000545,200,10000,30
60,0.0670112068446051,0.0678758364312291,0.0031009497927794,True,0.0678758364312267,0.0029022370544971,True,0.0678758364312269,0.0029161319366949,True,7.346198890001688,1.87786859300104,0.5024704930037842,9.774599224001577,200,10000,30
61,0.0671062555370991,0.0672029739776964,0.0031259853439061,True,0.067202973977695,0.0032008972186322,True,0.0672029739776949,0.0032352652780367,True,3.8263636940027936,2.0873820339984377,0.5123859849991277,6.456021364996559,200,10000,30
62,0.0672212808212805,0.0671799256505598,0.0030755417734195,True,0.0671799256505577,0.0030618789431341,True,0.0671799256505576,0.0030744643793557,True,3.679713409001124,2.4200541890022578,0.6649645430006785,6.811012178004603,200,10000,30
63,0.0670894824984677,0.0692840148698904,0.0031020763472882,True,0.0692840148698884,0.0027848491368525,True,0.0692840148698885,0.0027748726017184,True,3.791528626999934,2.1925554720000946,0.4950190469971858,6.524264077001135,200,10000,30
64,0.0671790445099197,0.0698453531598533,0.0030958571618973,True,0.0698453531598514,0.002828461569479,True,0.0698453531598514,0.0028622482850155,True,3.7631767189959646,1.8472989340007189,0.6644293040008051,6.303741927004012,200,10000,30
65,0.0670432755775129,0.066906319702605,0.0030849634178288,True,0.0669063197026024,0.0032400402196205,True,0.0669063197026022,0.0032604978875374,True,6.000802090995421,2.603477138000017,0.7670027840067632,9.401485720998608,200,10000,30
66,0.0670244290822094,0.0677881040892214,0.0030690643040589,True,0.0677881040892194,0.0034190766639978,True,0.0677881040892194,0.0034306116301093,True,3.821064042997023,2.069588038000802,0.5448808729997836,6.464643963001436,200,10000,30
67,0.0669724489506981,0.0677672862453552,0.0030897731525154,True,0.0677672862453532,0.0029616718098994,True,0.0677672862453534,0.0029891563883201,True,3.586262978002196,2.367276154000137,0.807124250997731,6.793261576996883,200,10000,30
68,0.0671937559513835,0.064268401486991,0.0030828868665326,True,0.0642684014869889,0.0031017079843377,True,0.0642684014869892,0.0031071288549483,True,3.770409935998032,1.9237299039959908,0.8295497770013753,6.568455268003163,200,10000,30
69,0.0670965496122435,0.0662208178438679,0.0031201518620573,True,0.0662208178438662,0.0027099474242998,True,0.0662208178438661,0.0026902699438091,True,4.008055318998231,1.8453417179989628,0.6082710330010741,6.4911486899945885,200,10000,30
70,0.0671871027116265,0.0636074349442404,0.0031183409531839,True,0.063607434944238,0.0030506905612495,True,0.0636074349442376,0.0030859661025705,True,3.5385438030061778,1.9530555969977288,0.6926949219996459,6.217067812001915,200,10000,30
71,0.0670710984436728,0.0676208178438678,0.0031016492618121,True,0.0676208178438664,0.0031723952127678,True,0.0676208178438663,0.003160845955628,True,3.670817569996871,1.78799465100019,0.7392856749938801,6.228123246997711,200,10000,30
72,0.067093873760413,0.0715263940520474,0.0030865084479912,True,0.0715263940520446,0.0032639021963758,True,0.0715263940520447,0.0032752045981831,True,3.597351626995078,2.057583830996009,0.5136023529994418,6.203099776997988,200,10000,30
73,0.0670368118081302,0.0655903345724929,0.0031506396942962,True,0.0655903345724906,0.0028234349062012,True,0.0655903345724908,0.0028349187981049,True,3.957454378003604,1.916654002998257,0.7427194740012055,6.661014930999954,200,10000,30
74,0.0671701110297286,0.0643635687732367,0.0030915217111788,True,0.0643635687732342,0.0030597708653796,True,0.0643635687732343,0.0030379827823033,True,7.449573645993951,1.948293661000207,0.5854921049976838,10.029669550000108,200,10000,30
75,0.0669276405143506,0.0671271375464702,0.003110150300131,True,0.0671271375464685,0.0029622950708329,True,0.0671271375464679,0.0029620193757198,True,3.5542248120036675,2.0984597520000534,0.5199417719995836,6.209195203002309,200,10000,30
76,0.067040009531702,0.0716639405204487,0.0030922643222846,True,0.0716639405204462,0.0029341147078607,True,0.0716639405204461,0.0029086522189759,True,4.543127204000484,1.9227619280063664,0.8174781589987106,7.329134368002997,200,10000,30
77,0.067068407470713,0.0642304832713778,0.0031014272105311,True,0.0642304832713756,0.0032550359012985,True,0.0642304832713754,0.0032384122239052,True,3.749711159005528,1.8246325210056968,0.5090085060001002,6.12698566600011,200,10000,30
78,0.0670467151689661,0.0739992565055792,0.0030494179192156,False,0.0739992565055762,0.0029211146957168,False,0.0739992565055763,0.0029508863590862,False,4.063019344001077,1.8554831150031528,0.5549779509965447,6.5050737540004775,200,10000,30
79,0.067070547954248,0.0668602230483296,0.0030725832255585,True,0.0668602230483271,0.0030309902677452,True,0.0668602230483274,0.0030332158922383,True,6.249929593999696,2.694621827999072,0.7785015490007936,9.768847940998969,200,10000,30
80,0.0670022436596718,0.0716260223048351,0.0030884469454867,True,0.0716260223048328,0.0029541779154068,True,0.0716260223048322,0.0029955101763624,True,4.277556421999179,2.4343239000008907,0.6009893900045427,7.343895908001286,200,10000,30
81,0.0672167548325834,0.0677420074349461,0.0030593334964266,True,0.0677420074349441,0.003098656636661,True,0.0677420074349441,0.0030928529665977,True,3.926326212000277,2.1468891199983773,0.544489555999462,6.647740874999727,200,10000,30
82,0.0669901363695965,0.0658825278810432,0.0030822287156918,True,0.0658825278810408,0.0027400359660315,True,0.0658825278810409,0.0027285984932438,True,3.958902491001936,1.883810294995783,0.5900387660003616,6.476907094001945,200,10000,30
83,0.0670626280138898,0.0745249070631995,0.0030930632335717,False,0.0745249070631972,0.0030450452626678,False,0.074524907063197,0.0030477458622965,False,4.055907327005116,2.147149445998366,0.5793004049992305,6.813236157999199,200,10000,30
84,0.0671844388333699,0.0666929368029765,0.0031048514520901,True,0.0666929368029738,0.0030672138677594,True,0.0666929368029741,0.0031004280542803,True,3.708343003003392,1.9805422899953555,0.5666193189972546,6.283830828004284,200,10000,30
85,0.0668605059818977,0.0664498141263963,0.003074517665838,True,0.066449814126394,0.0033632590193268,True,0.0664498141263943,0.0033416681660321,True,3.8027353529978423,2.021903065004153,0.5725969430059195,6.441845852998085,200,10000,30
86,0.0671015686315494,0.0663286245353181,0.0030966744762743,True,0.0663286245353162,0.0029243281977394,True,0.0663286245353154,0.0029712462823241,True,3.837732144005713,2.092625973004033,0.5674824269954115,6.548417715996038,200,10000,30
87,0.0671937071235481,0.0665776951672891,0.0030977104335429,True,0.0665776951672863,0.0032106541370699,True,0.066577695167286,0.0032089680915918,True,4.7682295630002045,1.9073248819986477,0.7122153780001099,7.418826783999975,200,10000,30
88,0.0670742222163734,0.0627583643122694,0.0031016878519172,True,0.0627583643122677,0.0030263398285056,True,0.0627583643122677,0.0030413532411518,True,3.572305224006413,1.8985767179983668,0.5088009829996736,6.025009760000103,200,10000,30
89,0.0670401819372925,0.0648877323420092,0.0030954353640102,True,0.0648877323420074,0.0031879133222439,True,0.0648877323420071,0.0031942746393226,True,7.210744586998771,1.853764143997978,0.6118724390034913,9.722550973005127,200,10000,30
90,0.0670583732955243,0.0695323420074372,0.0030869357625858,True,0.0695323420074351,0.0029070153830611,True,0.069532342007435,0.0028889906111768,True,4.053858172999753,2.026444728995557,0.4995693339951685,6.623743595999258,200,10000,30
91,0.0671515265937648,0.0701992565055789,0.0030520298142242,True,0.0701992565055762,0.0031390794508819,True,0.0701992565055764,0.003153231367868,True,3.8274293840004248,2.1105202960025053,0.5745252139968215,6.544755538001482,200,10000,30
92,0.067032531642182,0.0698230483271392,0.0030555887249288,True,0.0698230483271376,0.0030091595179035,True,0.0698230483271376,0.0030056981396716,True,5.537795755000843,2.1104290209987084,0.6077118719986174,8.302875180997944,200,10000,30
93,0.0670290004411304,0.0677568773234221,0.0030821561390582,True,0.0677568773234201,0.0029556798657167,True,0.06775687732342,0.0029779654506772,True,3.582981034000113,1.8745402250060577,0.5211336239954107,6.008403901003476,200,10000,30
94,0.0668557093334822,0.0696736059479582,0.0031063494427265,True,0.0696736059479554,0.0031291789267915,True,0.0696736059479553,0.0031453308063521,True,3.951802447998489,1.850978471993585,0.5736334999965038,6.42105149699637,200,10000,30
95,0.0671020510236844,0.0683033457249088,0.0030486314070669,True,0.0683033457249071,0.0027553190343842,True,0.0683033457249074,0.0027850271736376,True,5.013445278003928,1.9306866380065912,0.7988194659992587,7.77224891899823,200,10000,30
96,0.06696912025722,0.0699115241635713,0.0031178745737827,True,0.0699115241635689,0.0031948733449112,True,0.069911524163569,0.0032341523197591,True,3.9386228729999857,2.0257831959970645,0.5504770440020366,6.559695797004679,200,10000,30
97,0.0671182772433094,0.0647776951672881,0.0031008489493301,True,0.0647776951672863,0.003078497694369,True,0.0647776951672861,0.0030723732909672,True,6.677175939003064,1.9850859490034052,0.6124620009941282,9.324912654999936,200,10000,30
98,0.0670848900193685,0.0680624535316013,0.0031054083423602,True,0.0680624535315986,0.0031947922746903,True,0.0680624535315991,0.0032027010430131,True,3.538122205005493,1.846048340004927,0.5716672760026995,5.985324427005253,200,10000,30
99,0.0670501719820917,0.0655390334572513,0.0030903747910762,True,0.0655390334572492,0.0030862325798949,True,0.065539033457249,0.0031134389640566,True,3.693201336995117,2.3419634219972068,0.700257384996803,6.781090390999452,200,10000,30
100,0.0669891898698488,0.0716066914498165,0.0031004052476337,True,0.0716066914498142,0.0033306869579402,True,0.0716066914498146,0.003317272516965,True,3.692750538997643,1.9216227290016832,0.5666398920002393,6.224802655997337,200,10000,30
101,0.0671151719224534,0.0636245353159876,0.0030323341875106,True,0.0636245353159852,0.0028300085690739,True,0.0636245353159855,0.0028574589303365,True,3.924363167003321,2.6695782269962365,0.7495543819968589,7.372238105999713,200,10000,30
102,0.0671402273651952,0.0676825278810435,0.0031101039812652,True,0.0676825278810408,0.0030949582153529,True,0.0676825278810407,0.003088750680952,True,3.701407081003708,2.212627644003078,0.6915323510038434,6.649762907007244,200,10000,30
103,0.0670394354082273,0.0605405204460982,0.0030775757168983,False,0.0605405204460967,0.0033356279304615,True,0.0605405204460965,0.0033502197604285,True,4.33324734299822,2.640228890995786,0.5907939820026513,7.594817436001904,200,10000,30
104,0.0670323033665087,0.062197026022307,0.0031019685225093,True,0.0621970260223049,0.0029063532313508,True,0.0621970260223049,0.0029272335094252,True,3.652569457000936,2.1234616659930907,0.7251927420002175,6.535801514000923,200,10000,30
105,0.066956669307553,0.0673992565055783,0.0031260336778413,True,0.0673992565055764,0.0032247793205912,True,0.0673992565055767,0.0032411071993404,True,3.7590165990040982,2.152864335999766,0.5564100429983228,6.514869481005007,200,10000,30
106,0.0671060999486814,0.0665152416356904,0.0031011850258068,True,0.0665152416356879,0.0032225319314052,True,0.0665152416356874,0.0032361646746976,True,4.076244911004324,2.5874114429971087,0.7264545660000294,7.427585577002901,200,10000,30
107,0.0670771392788366,0.0660728624535346,0.0031046849735176,True,0.0660728624535315,0.0030548601804657,True,0.0660728624535315,0.003097387677954,True,3.900170350003464,1.813001998998516,0.62999973299884,6.3819525740036624,200,10000,30
108,0.0669409171279788,0.0697256505576231,0.0030882241108476,True,0.0697256505576207,0.0030320266551911,True,0.0697256505576208,0.0030387794819822,True,3.779495487004169,1.836194705996604,0.6297455039966735,6.277602069996647,200,10000,30
109,0.0672831136442693,0.0634795539033485,0.0030936309036569,True,0.0634795539033458,0.0033463733759522,True,0.0634795539033459,0.0033683777678134,True,3.851768929998798,2.227578051999444,0.5747242490033386,6.6836507889966015,200,10000,30
110,0.0670702238272478,0.0665360594795563,0.0031097535944129,True,0.066536059479554,0.0027797900642751,True,0.0665360594795541,0.0027815132669993,True,4.432919601000322,2.037444964000315,0.5810635819943855,7.081613424001262,200,10000,30
111,0.0671024301161088,0.0708327137546492,0.0030973301268754,True,0.0708327137546468,0.003014440233575,True,0.0708327137546468,0.0030084812922267,True,7.110771684994688,2.08603032699466,0.5002797920024022,9.727163614996243,200,10000,30
112,0.0671465247851597,0.0625375464684036,0.0030981253277929,True,0.0625375464684015,0.0031495069337654,True,0.0625375464684015,0.0031752859775887,True,3.555354422001983,2.0859241420039325,0.8227284199965652,6.495355061997543,200,10000,30
113,0.0671831131061251,0.0689776951672885,0.0030738800749662,True,0.0689776951672863,0.0030787138849036,True,0.0689776951672863,0.003070484038415,True,3.541071621999436,1.8359103110051365,0.5720923159969971,5.981109945998469,200,10000,30
114,0.0671120092172267,0.0668646840148719,0.0030752201551488,True,0.0668646840148698,0.0032052051682642,True,0.0668646840148702,0.003214146297991,True,3.540269728000567,1.846399105997989,0.6560411219979869,6.0767013510048855,200,10000,30
